Waypoint Number,X [m] ,Y [m] ,Alt. ASL [m] ,Alt. AGL [m] ,xcoord ,ycoord 
79,"-514133.859747","-7535715.657309","120.000000",nan,"-44.862797","-22.284141"
80,"-514095.244995","-7535723.380259","120.000000",nan,"-44.863172","-22.284072"
81,"-514056.630243","-7535731.103209","120.000000",nan,"-44.863547","-22.284002"
82,"-514040.693382","-7535704.809322","120.000000",nan,"-44.863701","-22.284240"
83,"-514043.818418","-7535673.426561","120.000000",nan,"-44.863670","-22.284523"
84,"-514082.433170","-7535665.703611","120.000000",nan,"-44.863296","-22.284593"
85,"-514121.047922","-7535657.980660","120.000000",nan,"-44.862921","-22.284662"
86,"-514159.662675","-7535650.257710","120.000000",nan,"-44.862546","-22.284732"
87,"-514198.277427","-7535642.534759","120.000000",nan,"-44.862171","-22.284801"
88,"-514236.892179","-7535634.811809","120.000000",nan,"-44.861796","-22.284870"
89,"-514275.506931","-7535627.088858","120.000000",nan,"-44.861421","-22.284940"
90,"-514314.121683","-7535619.365908","120.000000",nan,"-44.861046","-22.285009"
91,"-514352.736435","-7535611.642958","120.000000",nan,"-44.860671","-22.285079"
92,"-514391.351187","-7535603.920007","120.000000",nan,"-44.860296","-22.285148"
93,"-514429.965940","-7535596.197057","120.000000",nan,"-44.859921","-22.285218"
94,"-514468.580692","-7535588.474106","120.000000",nan,"-44.859546","-22.285287"
95,"-514507.195444","-7535580.751156","120.000000",nan,"-44.859171","-22.285357"
96,"-514545.810196","-7535573.028205","120.000000",nan,"-44.858796","-22.285426"
97,"-514584.424948","-7535565.305255","120.000000",nan,"-44.858422","-22.285496"
98,"-514623.039700","-7535557.582305","120.000000",nan,"-44.858047","-22.285565"
99,"-514661.654452","-7535549.859354","120.000000",nan,"-44.857672","-22.285634"
100,"-514700.269205","-7535542.136404","120.000000",nan,"-44.857297","-22.285704"
101,"-514738.883957","-7535534.413453","120.000000",nan,"-44.856922","-22.285773"
102,"-514763.938726","-7535517.650514","120.000000",nan,"-44.856678","-22.285925"
